content,tags,categories,title,date,views,id,thumbnail
,backend,"",Biến điện thoại thành SMS Gateway để tận dụng làm Send OTP Service,2024-05-01 08:55:23.000000,213,/2024/05/01/bien-dien-thoai-thanh-sms-gateway-tan-dung-lam-service-send-otp/,https://gettips200ok.netlify.app/images/bien-dien-thoai-thanh-sms-gateway-tan-dung-lam-service-send-otp/thumbnail.jpg
,"sqlserver,vscode",database,Cách kết nối SQL Server với VSCode để tận dụng AI nhắc lệnh SQL và vô vàn món ăn chơi khác,2023-10-23 08:51:43.000000,33,/2023/10/23/setup-mysql-vscode/,https://gettips200ok.netlify.app/images/setup-mysql-vscode/thumbnail.png
,"","",Lời nói đầu,2023-10-18 18:08:26.000000,117,/2023/10/18/my-new-post/,https://gettips200ok.netlify.app/images/avatar.png
,"nodejs,orm,typeorm,prisma,sequelize",backend,So sánh các ORM NodeJS thông dụng,2024-09-17 18:18:56.000000,30,/2024/09/17/so-sanh-orm-nodejs/,https://gettips200ok.netlify.app/images/so-sanh-orm-nodejs/image.png
,"backend,deploy,aws","cloud service,aws","Cách deploy MySQL, PostgreSQL, SQL Server lên AWS RDS MIỄN PHÍ mà không mất tiền oan bằng tài khoản Free Tier",2024-02-09 19:33:15.000000,104,/2024/02/09/cach-deploy-mysql-len-aws-rds/,https://gettips200ok.netlify.app/images/Cach-deploy-mysql-len-AWS-RDS/thumbnail.png
,"api security,backend,base","backend,nodejs",Tổng hợp các phương pháp bảo mật API NodeJS chống hacker lỏ,2024-02-28 09:34:09.000000,286,/2024/02/28/tong-hop-phuong-phap-bao-mat-api-nodejs-chong-hacker/,https://gettips200ok.netlify.app/images/Tong-hop-phuong-phap-bao-mat-api-nodejs-chong-hacker/photo_2024-03-06_20-32-41.jpg
,"backend,beginner-questions",backend,Giải ngố cùng anh Liêm: Vì sao lại phải dùng backend? Sao không connect thẳng từ frontend tới database đi?,2024-01-22 18:50:26.000000,91,/2024/01/22/tai-sao-lai-dung-backend/,https://gettips200ok.netlify.app/images/Tai-sao-lai-dung-backend/WHY.png
,"linux,debian",linux,Quá chán Ubuntu? Hãy đi tìm linux distro phù hợp với bạn!,2024-01-27 20:43:11.000000,54,/2024/01/27/tips-choose-linux-distro/,https://gettips200ok.netlify.app/images/Tips-choose-linux-distro/thumbnail.png
,"",small tips,Cách crack Star UML và các app viết bằng ElectronJS nói chung,2024-03-16 13:20:56.000000,80,/2024/03/16/cach-crack-star-uml/,https://gettips200ok.netlify.app/images/cach-crack-star-uml/image.png
,"backend,deploy,aws","cloud service,aws",AWS: Tạo EC2 Instace an toàn không mất tiền với Free Tier,2024-02-14 20:21:14.000000,157,/2024/02/14/cach-tao-ec2-instance/,https://gettips200ok.netlify.app/images/cach-tao-ec2-instance/thumbnail.png
,"nodejs,typescript",backend,Typescript trong Nodejs - Tại sao lại dùng và cách set up,2023-10-22 17:54:57.000000,128,/2023/10/22/typescriptsetup/,https://gettips200ok.netlify.app/images/typescriptsetup/typescript-nodejs.png
,"typescript,nodejs",small tips,Chuyển sang dùng absolute path như thế này để source code NodeJS trông gọn và đẹp hơn!,2024-03-16 15:07:35.000000,79,/2024/03/16/chuyen-sang-dung-absolubt-path-typescript/,https://gettips200ok.netlify.app/images/chuyen-sang-dung-absolubt-path-typescript/image-2.png
,"backend,elasticseach,docker,docker-compose,logtash,debezium,postgresql",backend,Elasticseach và PostgreSQL: phân tích các chiến lược đồng bộ dữ liệu,2024-07-18 10:50:25.000000,121,/2024/07/18/elastic-postgres-sync-strategies/,https://gettips200ok.netlify.app/images/elastic-postgres-sync-strategies/elastic-sync-thumbnail.png
,"database,wal-g,postgresql,mysql,mongodb,backup","backend,database",Giới thiệu và sử dụng Wal-g để thực hiện backup database và push backup file lên 3rd party service như AWS S3,2024-09-18 15:40:42.000000,46,/2024/09/18/wal-g-backup-database/,https://gettips200ok.netlify.app/images/wal-g-backup-database/thumbnail.png
